RECID	HHOLDID	NOVEH	NOIND	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36
1	1	1	5	1	25	1	2	7	10	1	3	3	3	2	1	1	2	3	8	4	3	3	11	3	1	12	13	3	13	8	3	1	10	12	13	13	1	12
1	2	0	1	3	7	1	2	7	10	2	4	3	1	1	1	1	1	1	8	4	8	1	2	2	2	11	13	7	13	8	1	2	10	15	14	14	14	15
1	3	0	1	7	3	1	2	7	10	1	4	3	3	1	1	1	1	1	2	1	8	1	1	1	3	18	1	6	1	2	1	2	10	5	5	4	3	6
1	4	0	1	1	3	1	2	7	10	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	4	18	1	8	14	1	1	2	10	1	1	1	1	1
1	5	1	3	6	3	1	2	7	10	1	3	3	3	2	1	1	2	1	8	4	3	2	7	6	1	9	6	4	7	3	1	2	10	15	14	14	14	15
1	6	1	1	5	7	1	2	7	10	1	3	3	3	2	1	1	2	1	8	4	3	2	2	1	4	18	1	7	14	1	1	2	10	7	9	10	1	4
1	7	1	3	4	8	1	2	7	10	1	3	3	3	2	1	1	2	2	8	4	3	2	6	3	1	5	8	4	8	4	2	1	10	10	13	11	9	4
1	8	2	4	5	1	1	2	7	10	1	3	3	3	3	1	1	3	2	8	4	2	5	10	7	1	9	4	6	10	4	1	2	10	14	13	12	1	8
1	9	1	2	1	4	1	2	7	10	2	3	3	2	2	1	1	2	1	8	4	3	3	3	5	1	10	6	2	9	5	1	2	10	15	14	14	14	15
1	10	0	5	4	1	1	2	7	10	1	4	3	3	1	1	1	1	2	1	1	7	1	11	3	1	10	5	3	5	2	3	1	10	10	12	9	8	10
1	11	1	2	5	2	1	2	7	10	1	3	3	3	2	1	1	2	1	8	4	3	3	4	1	5	18	2	5	5	3	1	2	10	3	3	3	1	1
1	12	0	1	2	25	1	2	7	10	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	4	18	1	8	14	1	1	2	10	6	6	7	11	1
1	13	1	5	1	25	1	1	10	3	1	3	3	3	1	1	2	2	1	8	4	4	2	11	3	1	13	5	4	5	2	3	1	3	3	3	4	1	1
1	14	0	2	3	6	1	1	10	3	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	18	1	8	2	2	1	2	3	1	1	1	1	1
1	15	2	4	7	22	1	1	10	3	2	3	3	1	2	2	1	3	1	8	4	3	3	8	3	1	4	8	2	8	3	3	1	3	15	14	14	14	15
1	16	1	3	4	25	1	1	10	3	2	3	3	1	2	1	1	2	1	8	4	3	3	6	3	1	13	13	4	13	8	2	2	3	15	14	14	14	15
1	17	1	4	7	5	1	1	10	3	1	3	3	3	2	1	1	2	2	8	4	3	2	8	3	1	1	4	4	4	2	3	1	3	12	13	11	1	6
1	18	0	2	2	25	1	1	10	3	1	4	3	3	1	1	1	1	1	8	4	8	2	5	2	3	18	13	8	13	8	1	2	3	2	2	1	1	1
1	19	0	1	6	25	1	1	10	3	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	4	18	1	8	14	1	1	2	3	1	1	1	1	1
1	20	1	2	7	25	1	1	10	3	2	1	2	2	2	1	1	2	1	8	4	9	6	4	6	1	6	3	5	13	8	1	2	3	15	14	14	14	15
1	21	1	3	4	1	1	1	10	3	2	1	2	2	2	1	1	2	2	8	4	9	6	7	3	6	18	13	5	13	8	1	2	3	15	14	14	14	15
1	22	0	1	5	2	1	3	10	3	1	4	3	3	1	1	1	1	1	2	1	8	1	1	1	5	18	1	4	1	2	1	2	3	1	1	1	1	1
1	23	2	6	4	25	1	1	9	11	1	3	3	3	3	1	1	3	2	8	4	2	3	11	3	1	4	9	4	9	2	4	1	11	15	14	14	14	15
1	24	2	5	1	4	1	3	10	3	1	3	3	3	2	1	2	3	1	8	4	2	3	11	3	1	1	9	3	9	3	3	1	3	10	12	12	1	9
1	25	0	2	6	25	1	3	10	3	1	4	3	3	1	1	1	1	2	2	1	7	1	4	3	1	9	6	4	6	4	1	2	3	7	8	8	8	1
1	26	0	1	7	25	1	3	10	3	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	3	18	1	8	1	2	1	2	3	1	1	1	1	1
1	27	0	2	6	11	1	3	10	3	1	4	3	3	1	1	1	1	2	8	4	7	2	5	1	3	18	1	8	2	2	1	2	3	1	1	1	1	1
1	28	0	2	2	6	1	7	6	3	1	4	3	3	1	1	1	1	1	8	4	8	1	5	6	1	12	5	7	8	5	1	2	3	7	8	10	2	1
1	29	0	1	6	3	1	7	6	3	1	4	3	3	1	1	1	1	1	3	1	8	2	1	1	3	18	1	6	1	2	1	2	3	7	9	7	6	5
1	30	0	5	5	3	1	7	6	3	1	4	3	3	1	1	1	1	1	2	1	8	1	11	1	4	18	4	3	4	1	4	1	3	10	12	7	7	10
1	31	2	4	1	1	1	7	6	3	2	2	2	2	3	1	1	3	1	8	4	9	6	8	5	6	18	13	3	13	8	3	1	3	15	14	14	14	15
1	32	1	2	5	25	1	7	6	3	2	3	3	1	2	1	1	2	1	8	4	3	2	4	6	1	9	4	5	7	4	1	2	3	15	14	14	14	15
1	33	0	1	3	25	1	7	6	3	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	3	18	2	8	2	3	1	2	3	4	4	3	2	1
1	34	0	4	6	25	1	7	6	3	1	4	3	3	1	1	1	1	1	2	1	8	1	8	3	1	9	4	2	4	2	3	1	3	6	7	9	8	6
1	35	2	2	4	1	1	1	9	11	1	3	3	3	3	1	1	3	1	8	4	2	3	5	2	2	2	3	8	6	4	1	2	11	10	12	8	1	9
1	36	1	5	7	7	1	1	9	11	1	3	3	3	2	1	1	2	4	8	4	3	2	12	6	1	6	8	4	10	3	3	2	11	14	13	13	7	15
1	37	0	1	3	7	1	4	10	11	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	3	18	2	8	2	3	1	2	11	7	8	6	1	6
