RECID	HHOLDID	NOJOUR	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I20	I21	I22	I23	I24	I25	I27	I28	I30	I31	I32	I33	I34	I35
3	1	24	1	1	1	1	1	1	12	13	27	7	1	2	2	2	2	8	4	9	13	1	1	3	5	3	7	8	7	8	9	10	13	1	8
3	1	5	2	1	1	2	1	4	18	13	27	12	2	1	2	2	2	3	4	9	13	1	1	3	7	3	2	4	3	3	3	3	12	1	1
3	1	7	3	1	3	4	2	7	19	14	9	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	4	4	12	1	4
3	1	7	4	1	3	4	2	7	19	14	6	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	4	4	12	1	4
3	1	7	5	1	3	4	2	7	19	14	4	2	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	4	4	12	1	4
3	2	0	1	3	1	1	2	2	11	13	31	14	2	1	1	1	1	10	2	9	13	7	1	3	6	3	2	2	7	8	15	14	14	14	15
3	3	8	1	1	1	1	2	3	18	1	30	13	2	1	1	1	1	10	2	9	13	7	1	3	6	3	2	2	7	8	5	5	4	3	6
3	4	0	1	1	1	1	2	4	18	1	32	14	2	1	1	1	1	10	2	9	13	7	1	2	11	2	4	4	7	8	1	1	1	1	1
3	5	20	1	1	1	1	1	1	9	6	28	7	1	2	2	1	1	8	4	9	13	2	1	3	11	3	3	3	7	8	15	14	14	14	15
3	5	16	2	1	1	2	1	4	18	1	28	12	2	1	1	1	1	10	2	9	13	7	1	3	11	3	4	3	7	8	7	9	9	3	5
3	5	18	3	1	1	3	2	1	5	1	18	10	2	2	1	1	1	10	2	9	13	7	1	4	13	4	3	3	7	8	8	10	9	10	9
3	6	15	1	1	1	1	2	4	18	1	31	14	2	1	2	2	2	8	4	9	13	1	1	3	8	3	2	2	1	8	7	9	10	1	4
3	7	18	1	1	1	1	1	1	5	8	28	7	1	2	2	1	2	8	4	9	13	2	1	3	6	3	1	8	1	8	8	10	9	8	4
3	7	0	2	1	1	2	1	4	18	1	27	12	2	1	1	1	1	10	2	9	13	7	1	3	6	3	1	8	1	8	1	1	1	1	1
3	7	14	3	1	3	4	2	7	19	14	10	3	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	7	9	9	6	1
3	8	14	1	1	1	1	1	1	9	4	30	8	1	2	2	1	2	8	4	9	13	2	1	3	8	3	7	8	7	8	7	8	5	1	3
3	8	6	2	1	1	2	1	4	18	1	29	12	2	1	2	1	1	8	4	9	13	2	1	3	8	3	7	8	7	8	4	4	4	1	3
3	8	31	3	1	1	3	2	1	9	6	23	6	1	2	2	1	1	8	4	9	13	2	1	3	8	3	7	8	7	8	10	12	11	1	5
3	8	22	4	1	1	3	2	1	6	3	19	10	2	2	2	1	1	5	4	9	13	2	1	3	8	3	7	8	7	8	9	10	9	1	3
3	9	0	1	3	1	1	1	1	10	6	23	6	1	2	2	2	2	5	4	9	13	1	1	3	5	3	7	8	7	8	15	14	14	14	15
3	9	32	2	1	1	2	1	2	7	3	23	11	2	1	2	2	2	8	4	9	13	1	1	2	4	2	3	2	1	8	10	12	10	1	9
3	10	12	1	1	1	1	1	1	10	5	27	7	1	2	1	1	1	10	2	9	13	7	1	4	6	4	3	2	7	8	6	7	6	3	5
3	10	5	2	1	1	2	1	4	18	1	26	11	2	1	1	1	1	10	2	9	13	7	1	6	6	6	3	3	7	8	4	4	4	5	5
3	10	8	3	1	3	4	2	7	19	14	5	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	5	5	3	2	2
3	10	5	4	1	3	4	2	7	19	14	4	2	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	4	4	4	3	5
3	10	0	5	4	3	4	2	7	19	14	1	1	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	11	0	1	1	1	1	2	5	18	2	29	7	1	2	2	1	1	8	4	9	13	2	1	6	13	6	7	8	7	8	1	1	1	1	1
3	11	4	2	1	1	3	2	4	18	2	32	14	2	1	2	1	1	8	4	9	13	2	1	6	13	6	7	8	7	8	3	3	3	1	1
3	12	10	1	1	1	1	2	4	18	1	32	14	2	1	1	1	1	10	1	5	11	7	1	1	8	1	4	4	7	8	6	6	7	11	1
3	13	2	1	1	1	1	1	1	13	5	28	7	1	2	2	1	1	8	4	9	13	2	1	1	14	1	1	8	5	8	2	2	3	1	1
3	13	0	2	1	1	2	1	4	18	1	27	12	2	1	1	1	1	10	2	9	13	7	1	1	14	1	2	2	5	8	1	1	1	1	1
3	13	0	3	1	3	4	2	7	19	14	13	4	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	1	1	1	1	1
3	13	2	4	1	3	4	2	7	19	14	10	3	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	2	2	3	1	1
3	13	0	5	1	3	4	2	7	19	14	7	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	1	1	1	1	1
3	14	0	1	1	1	1	1	3	18	1	32	9	1	2	1	1	1	10	2	9	13	7	2	9	14	9	8	8	8	8	1	1	1	1	1
3	14	0	2	1	1	2	1	3	18	1	32	14	2	1	1	1	1	10	2	9	13	7	2	9	14	9	8	8	8	8	1	1	1	1	1
3	15	12	1	2	1	1	1	1	4	8	26	6	1	2	2	3	1	8	4	9	13	2	1	1	14	1	1	8	5	8	15	14	14	14	15
3	15	7	2	2	1	2	1	4	18	1	26	11	2	1	2	1	2	8	4	9	13	2	1	3	14	3	1	8	5	8	15	14	14	14	15
3	15	4	3	2	3	4	2	7	19	14	4	2	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	15	0	4	4	3	4	2	7	19	14	1	1	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	16	0	1	3	1	1	1	1	13	13	28	7	1	2	2	1	2	8	4	9	13	2	1	7	14	7	7	8	5	8	15	14	14	14	15
3	16	0	2	3	1	2	1	4	18	13	28	12	2	1	2	2	1	8	4	9	13	1	1	6	14	6	5	8	5	8	15	14	14	14	15
3	16	0	3	3	3	4	2	7	19	14	15	4	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	17	41	1	1	1	1	1	1	1	4	28	7	1	2	2	1	1	8	4	9	13	2	1	4	14	4	7	8	5	8	12	13	11	1	6
3	17	5	2	1	1	2	1	4	18	1	27	12	2	1	1	1	1	10	2	9	13	7	1	4	14	4	2	3	5	8	2	2	2	1	1
3	17	3	3	1	3	4	2	7	19	14	4	2	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	1	1	1	1	1
3	17	0	4	4	3	4	2	7	19	14	1	1	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
