RECID	HHOLDID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54
2	1	1	2	1	3	1	5	11	10	1	16	1	1	2	3	3	1	2	1	1	2	1	1	13	9	9	13	5	9	2	2	2	2	2	2	2	2	1	2	22	8	8	1	12	13	1	3	1	4	1	8	1	9	13	4
2	5	1	2	1	2	1	4	10	3	1	10	1	1	2	3	3	1	2	1	2	2	1	1	8	17	17	11	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	9	6	2	3	1	4	1	8	5	14	14	15
2	6	1	2	1	2	1	1	8	1	1	4	1	2	4	14	9	9	11	9	8	6	9	1	8	3	7	10	1	9	1	1	2	2	2	2	2	2	2	2	4	2	8	4	18	1	1	10	1	4	1	8	2	9	10	4
2	7	1	2	1	2	1	4	11	5	1	12	1	1	2	3	3	1	2	1	1	2	1	1	8	17	17	7	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	5	8	2	3	1	4	1	8	5	9	7	4
2	8	1	2	1	2	1	1	9	3	5	11	1	1	3	3	3	1	2	2	1	2	1	1	10	17	17	8	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	6	3	2	6	1	4	4	5	5	11	9	3
2	8	2	2	1	2	1	1	8	2	5	9	1	1	3	3	3	1	2	2	1	2	1	2	16	17	17	10	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	9	6	2	2	1	4	3	8	5	12	11	5
2	9	1	2	1	2	1	4	9	2	1	10	1	1	2	3	3	1	2	1	1	2	1	1	8	17	17	10	1	9	1	2	2	1	2	2	2	2	2	2	22	8	8	2	7	3	1	7	1	4	2	8	3	14	14	15
2	11	1	2	1	2	1	7	9	4	1	13	1	1	3	3	3	1	2	1	8	6	9	1	7	17	17	3	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	4	18	2	2	10	1	4	2	8	5	3	3	1
2	13	1	2	1	1	2	9	14	16	6	19	1	2	4	14	9	9	11	9	8	6	9	1	4	17	17	8	8	9	3	2	2	2	2	2	2	2	1	2	22	8	8	1	13	5	2	3	1	4	1	8	1	1	1	1
2	15	1	2	1	2	1	1	11	1	1	7	1	1	2	1	3	1	2	1	1	3	2	1	11	17	17	1	14	1	5	2	2	2	2	2	2	2	2	2	22	8	8	1	4	8	2	2	2	2	1	8	5	14	14	15
2	15	2	2	1	7	3	9	2	16	6	19	1	4	4	14	9	9	11	9	3	2	1	1	7	17	17	1	14	1	5	2	2	2	2	2	2	2	2	2	22	8	8	1	4	8	2	2	2	2	1	10	5	14	14	15
2	16	1	2	1	2	1	7	10	9	1	15	1	1	2	4	3	1	2	1	2	2	1	1	12	17	17	14	14	9	5	2	2	2	2	2	2	2	2	2	22	8	8	4	18	13	1	8	3	4	2	8	5	14	14	15
2	17	1	2	1	3	1	3	11	1	1	6	1	2	4	14	9	9	11	9	1	1	1	1	9	7	6	11	1	9	1	1	2	2	2	2	2	2	2	2	2	4	8	1	1	4	2	3	1	4	1	8	2	13	11	6
2	20	1	4	9	10	5	8	14	15	5	18	2	3	3	13	8	8	10	8	7	5	8	6	16	16	16	14	14	8	5	3	3	3	3	3	3	3	3	3	21	7	7	6	18	13	8	11	3	3	16	9	6	14	14	15
2	21	1	4	9	10	5	8	14	15	5	18	2	3	3	13	8	8	10	8	7	5	8	6	16	16	16	14	14	8	5	3	3	3	3	3	3	3	3	3	21	7	7	6	18	13	8	11	3	3	16	9	6	14	14	15
2	23	1	2	1	2	1	4	11	8	3	15	1	1	3	2	3	1	2	1	1	2	1	3	12	11	3	12	1	9	1	2	1	2	2	2	2	2	2	2	22	8	5	1	4	9	2	3	1	4	1	8	3	14	14	15
