"","recid","hholdid","i1_person_id","j1_journey_num","j2_land_use_origin","j3_area_type_origin","j4_land_use_dest","j5_area_type_dest","j6_plan_region_origin","j7_plan_region_dest","j8_purpose","j9_purpose_to","j10_purpose_from","j11_main_transport","j12_shortwalk","j13_num_stages_excl_shortwalk","j14_length_excl_shortwalk","j15_mi_exc_shortwalk","j16_freq_journey","j17_day_of_week","j18_day_of_recording_period","j19_journey_duration","j20_mins","j21_time_start","j22_time_end","j24_wait_time","j25_pct_time_wait","j26_length_inc_shortwalk","j27_mi_inc_shortwalk","j28_num_stages_inc_shortwalk","j30_why_not_vehicle","j31_mean_overall_speed"
"1",4,46,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",6,1,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"2",4,46,1,2,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",6,1,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"3",4,46,1,3,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Private car/van/1orry",FALSE,2,"2 to 2.9 miles",2,"DNA",6,1,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"4",4,46,1,4,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Private car/van/1orry",FALSE,2,"2 to 2.9 miles",2,"DNA",6,1,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"5",4,46,1,5,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",6,1,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"6",4,46,1,6,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",6,1,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"7",4,46,1,1,"DNA",6,"DNA",6,13,13,"Sport (ADril)","DNA","DNA","Private car/van/1orry",FALSE,2,"5 to 9.9 miles",8,"DNA",7,2,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",8,1,8,9
"8",4,46,1,2,"DNA",6,"DNA",6,13,13,"Sport (ADril)","DNA","DNA","Private car/van/1orry",FALSE,2,"5 to 9.9 miles",9,"DNA",7,2,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",9,1,8,9
"9",4,46,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",1,3,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"10",4,46,1,2,"DNA",6,"DNA",6,13,13,"In, course work","DNA","DNA","Private car/van/1orry",FALSE,2,"3 to 4.9 miles",3,"DNA",1,3,"DNA",0,NA,NA,14,13,"3 to 4.9 miles",3,1,8,9
"11",4,46,1,3,"DNA",6,"DNA",6,13,13,"In, course work","DNA","DNA","Private car/van/1orry",FALSE,2,"3 to 4.9 miles",3,"DNA",1,3,"DNA",0,NA,NA,14,13,"3 to 4.9 miles",3,1,8,9
"12",4,46,1,4,"DNA",6,"DNA",6,13,13,"Eating/drinking","DNA","DNA","Private car/van/1orry",FALSE,2,"2 to 2.9 miles",2,"DNA",1,3,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"13",4,46,1,5,"DNA",6,"DNA",6,13,13,"Eating/drinking","DNA","DNA","Private car/van/1orry",FALSE,2,"2 to 2.9 miles",2,"DNA",1,3,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"14",4,46,1,6,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",1,3,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"15",4,46,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",2,4,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
"16",4,46,1,2,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Private car/van/1orry",FALSE,2,"Under 1 mile",0.5,"DNA",2,4,"DNA",0,NA,NA,14,13,"Under 1 mile",0.5,1,8,9
